Doc Name,Intent Phrase,Intent,Sub Intent
07_1062_dispute,refuses to take premium sports channels from a channel supplier,Land_Dispute,action
07_1062_dispute,goes out of business,Land_Dispute,description
07_1062_dispute,refusing to accept offers,Land_Dispute,action
07_1062_dispute,advantage of its substantial power,Land_Dispute,claim
07_1062_dispute,46(1) of the trade practices act 1974,Land_Dispute,judgement_source
07_1062_dispute,45(2)(a)(ii) of the tp act,Land_Dispute,judgement_source
07_1062_dispute,advantage of substantial market power,Land_Dispute,claim
07_1062_dispute,45(2) of the tp act,Land_Dispute,judgement_source
07_1062_dispute,by refusing to accept offers,Land_Dispute,claim
07_1062_dispute,purpose of substantially lessening competition,Land_Dispute,claim
07_1895_dispute,corporations act 2001 (cth),Land_Dispute,judgement_source
07_1895_dispute,plaintiff claimed that it had a cross demand,Land_Dispute,claim
07_1895_dispute,cross claim by the plaintiff,Land_Dispute,claim
07_1895_dispute,a claim for costs,Land_Dispute,claim
07_1895_dispute,offsetting claim in respect of the costs,Land_Dispute,claim
07_1895_dispute,expert evidence of,Land_Dispute,evidence
07_1895_dispute,evidence to suggest that there was a loss,Land_Dispute,evidence
07_1895_dispute,evidence is that those commercially sold water meter,Land_Dispute,evidence
07_1895_dispute,evidence to show the basis upon which the loss is said to arise and how that loss is calculated.,Land_Dispute,evidence
07_1895_dispute,precision in the evidence concerning the quantum of the cross demand,Land_Dispute,evidence
07_1895_dispute,corporations act 2001 (cth),Land_Dispute,judgement source
07_2082_dispute,claimed breach of contract,Land_Dispute,claim
07_2082_dispute,claims that payment under the performance guarantees will adversely affect its commercial reputation,Land_Dispute,claim
07_2082_dispute,Clough had failed to honour commitments,Land_Dispute,claim
07_2082_dispute,evidence that the required policies are in full force and effect,Land_Dispute,evidence
07_2082_dispute,the evidence is that the Banks are unwilling to provide further facilities to Clough,Land_Dispute,evidence
07_2082_dispute,evidence given during his cross-examination requires to be understood,Land_Dispute,evidence
07_2082_dispute,section 7(2) of the International Arbitration Act 1974 (Cth),Land_Dispute,judgement source
07_2082_dispute,51AA of the Trade Practices Act 1974 (Cth),Land_Dispute,judgement source
07_2082_dispute,which loss directly resulted from provisions taken,Land_Dispute,action
07_2082_dispute,breach of this provision,Land_Dispute,action
07_2082_dispute,the risk of a party being out of pocket,Land_Dispute,party
07_2082_dispute,party becomes entitled to exercise a right under the contract,Land_Dispute,party
08_29_dispute,applicant's claim it might seek some form of rectification of the Agreement,Land_Dispute,claim
08_29_dispute,alleged breach of s 52 of the Trade Practices Act 1974 (Cth),Land_Dispute,judgement source
08_29_dispute,claim for a declaration that the respondent is obliged to accept all purchase orders,Land_Dispute,claim
08_29_dispute,31A of the Federal Court of Australia Act 1976 (Cth),Land_Dispute,judgement source
08_29_dispute,160 FCR 298 at [54],Land_Dispute,judgement source
08_29_dispute,arbitration clause obliged parties to submit to arbitration,Land_Dispute,party
08_29_dispute,party seeks declaratory or injunctive relief,Land_Dispute,party
08_29_dispute,preserved entitlement of a party under cl 20.3,Land_Dispute,party
08_29_dispute,international arbitration act 1974,Land_Dispute,judgement source
08_29_dispute,dispute in those circumstances where declaratory relief sought,Land_Dispute,action
08_29_dispute,agreement obliged parties to submit the dispute,Land_Dispute,action
08_29_dispute,Article II cl 1 also contemplates,Land_Dispute,judgement source
08_29_dispute,That reference to cl 20 of the Agreement,Land_Dispute,judgement source
08_29_dispute,respondent has no reasonable prospect of successfully resisting the claim,Land_Dispute,claim
08_29_dispute,The evidence indicates that it was only some time later,Land_Dispute,evidence
08_29_dispute,clear evidence that the Netherlands is a Convention country,Land_Dispute,evidence
08_29_dispute,there being no evidence of any other agreed commencement date,Land_Dispute,evidence
08_1112_dispute,claims relief in respect of subscription,Land_Dispute,claim
08_1112_dispute,legal bases of the claims for relief in the ACC,Land_Dispute,claim
08_1112_dispute,cross-examined on issues raised by the cross-claim,Land_Dispute,claim
08_1112_dispute,claims various forms of relief,Land_Dispute,claim
08_1112_dispute,evidence of any loss of damage being suffered,Land_Dispute,evidence
08_1112_dispute,"1041E , 1041H , 1041I , 1325 (1) and (5) of the Corporations Act 2001",Land_Dispute,judgement source
08_1112_dispute,s 12 of the ACT Act b,Land_Dispute,judgement source
08_1112_dispute,misleading or deceptive conduct,Land_Dispute,action
08_1112_dispute,intention to contract,Land_Dispute,action
08_1112_dispute,share subscription deed declared void,Land_Dispute,description
08_1112_dispute,51A of the Federal Court of Australia Act 1976 (Cth),Land_Dispute,judgement source
07_1251_dispute,evidence and in the light of the legislation and the authorities,Land_Dispute,evidence
07_1251_dispute,298K(1) of the Act,Land_Dispute,judgement source
07_1251_dispute,referring thereby to s 298L(2) of the Act,Land_Dispute,judgement source
07_1251_dispute,no evidence that [Mr Davies' conduct]... injured [Mr Lever] in his employment,Land_Dispute,evidence
07_1251_dispute,provided no satisfactory rejoinder,Land_Dispute,action
07_1251_dispute,purported breach of part xa of the workplace relations act 1996,Land_Dispute,judgement source
