1,871 OF 2012 1\.,2
2,2\.,0
3,3\.,0
4,4\.,0
5,Mahendra Dattatray Deshmukh.,0
6,Dashrath Bhau Baderao.,0
7,Ajay Pundlik Deshmukh.,0
8,Eknath Bhau Baderao.,0
9,V/s.,0
10,The State of Maharashtra.,1
11,... Appellants.,0
12,... Respondent.,0
13,... Appellants.,0
14,... Respondent.,0
15,CRIMINAL APPEAL NO.,2
16,916 OF 2012 1\.,2
17,Kiran @ Bapu Dashrath Baderao.,0
18,2\.,0
19,Rohan Dattatraya Deshmukh.,0
20,V/s.,0
21,The State of Maharashtra.,1
22,Ms.Payoshi Roy i/b.,0
23,Mr.H.S.Deshpande for the appellants in Appeal No.871/2012.,2
24,Ms.Payoshi Roy i/b.,0
25,Dr.Yug Mohit Chowdhary for the appellants in Appeal No.916/2012.,2
26,"Mr.J.P.Yagnik, APP for the respondent- State.",1
27,"CORAM : A.S.OKA AND A.S.GADKARI, JJ.",0
28,DATE ORAL JUDGMENT : : 28th February 2019.,3
29,"(Per A.S.Gadkari, J.)",0
30,"In the present appeal, the appellants will be referred as per their original accused Nos.",0
31,before the trial Court for the sake of brevity and for preciseness.,1
32,SSKN 2/12 871.12-apeal--judgment.doc 2\.,0
33,"By the impugned Judgment and Order dated 9 th July 2012 passed by the learned Additional Sessions Judge, Kalyan in Sessions Case No.284/2008, the accused No.1- Kiran Baderao and accused No.3- Rohan Deshmukh are convicted under section 302 read with 34 of the Indian Penal Code (for short ""IPC"") and sentenced to suffer imprisonment for life and to pay fine of Rs.5,000/Indian Kanoon - http://indiankanoon.org/doc/85708026/ 1 Mahendra Dattatraya Deshmukh And ... vs The State Of Maharashtra on 28 February, 2019 each, in default of payment of fine, to further suffer simple imprisonment for three months.",13
34,"By the impugned Judgment and Order, the accused No.2- Mahendra Deshmukh, accused No.4- Dashrath Baderao, accused No.5- Ajay Deshmukh and accused No.6- Eknath Baderao are convicted for the offences punishable under section 325 read with section 34 of IPC and section 324 read with 34 of IPC and are sentenced to suffer rigorous imprisonment for one year on each count and to pay fine of Rs.1,500/- each, in default of payment of fine, to further suffer simple imprisonment for three months.",2
35,The Trial Court has directed that the substantive sentences for the offences punishable under sections 325 and 324 of IPC to run concurrently.,1
36,The said judgment and order dated 9th July 2012 is impugned herein.,4
37,"By the same impugned Judgment and Order, the original accused No.7- Bhushan Choudhari, accused No.8- Rafik Shaikh and SSKN 3/12 871.12-apeal--judgment.doc accused No.9- Ashok Vishe have been acquitted from the offences punishable under sections 302, 307, 324 read with section 109 of IPC.",2
38,3\.,0
39,"Heard Ms.Payoshi Roy, learned counsel for the appellants/ accused and Mr.Yagnik, learned APP for the State.",2
40,Perused entire record.,0
41,4\.,0
42,"The case of the prosecution, in brief, is that, the original accused Nos.7, 8 and 9 and deceased Yogesh Warghade were Commission Agents in the business of sale and purchase of lands in the vicinity of Murbad Taluka.",2
43,"There was a dispute between the original accused Nos.7 to 9 and the deceased Yogesh about apportionment of the commission pertaining to the sale of land and therefore, at the instance of the original accused Nos.7 to 9, it is alleged that the appellants i.e.",1
44,"original accused Nos.1 to 6 assaulted deceased- Yogesh on 1 st August 2008 between 3.30 to 4.00 pm in the house of Santosh Yashwantrao at village-Gundegaon, Taluka- Murbad by using swords and wooden logs and committed his murder.",3
45,"It is the further case of the prosecution that in the said assault, Harishchandra Warghade (PW2), Mustaq Shaikh (PW3), Sunil Warghade (PW10) also sustained injuries.",2
46,"After completion of investigation, the Police submitted chargesheet in the Court of Judicial Magistrate First Class at Shahapur, district- Thane.",1
47,SSKN 4/12 871.12-apeal-- judgment.doc 5\.,0
48,"As the offence punishable under section 302 of IPC is exclusively triable by the Court of Sessions, the learned Judicial Magistrate committed the said case to the Court of Sessions at Kalyan.",4
49,"After committal of the case, the Trial Court framed charge below Exhibit-66.",1
50,The said charge was read over and explained to the accused persons in a vernacular language to which they denied.,0
51,The plea of the accused persons has been recorded by the trial Court below Exhibits-67 to 75.,1
52,"The defence of accused Nos.1- Kiran Baderao, No.3- Rohan Deshmukh, No.5- Ajay Deshmukh and No.6- Eknath Baderao was of total denial.",0
53,Their defence was of false implication in the present crime.,0
54,It was their further defence that it is the villagers of Gundegaon who assaulted the deceased Yogesh and other witnesses on account of assault by the injured witnesses to some of the villagers and that the present accused have nothing to do with the present crime.,0
55,"Indian Kanoon - http://indiankanoon.org/doc/85708026/ 2 Mahendra Dattatraya Deshmukh And ... vs The State Of Maharashtra on 28 February, 2019 6\.",5
56,A perusal of the entire evidence available on record would indicate that Mustaq Shaikh (PW3) is an independent injured eye witness.,0
57,Mustaq Shaikh in his testimony has stated that the incident took place on 1st August 2008 between 3 to 4 pm in the eastern direction of the house of Santosh Yashwantrao.,6
58,"On that day, he had been to village Dolkhamb.",0
59,He received a call from deceased Yogesh stating that they SSKN 5/12 871.12-apeal--judgment.doc have to go to the house of Santosh for taking meal.,0
60,"Therefore, he went to the house of Santosh.",0
61,"He has further stated that he, Santosh Yashwantrao, deceased- Yogesh and Sunil Warghade took meals at the house of Santosh.",2
62,That accused No.1- Kiran Baderao made enquiry with deceased- Yogesh as to whether Santosh was in the house or not.,0
63,Yogesh (deceased) told him that Santosh was not in the house.,0
64,The accused No.1Kiran got angry on account of their previous dispute and slapped Yogesh (deceased).,0
65,The accused No.1- Kiran also abused deceased- Yogesh.,0
66,"Sunil (PW10), Santosh Yashwantrao and Ramesh Warghade (PW1) were in the house at that time.",0
67,"They heard shouts of Harishchandra Warghade (PW2) who is the brother of deceased- Yogesh, from the backside of the house of Santosh.",0
68,"Therefore, they all went to the backside of house of Santosh Yashwantrao.",0
69,He has further stated that accused No.1- Kiran Baderao and accused No.3- Rohan Deshmukh were having swords in their hands.,2
70,"That accused No.6- Eknath Baderao, accused No.5- Ajay Deshmukh and accused No.4Dashrath Baderao also came there.",0
